  1: 32.84 real	30.20 user	2.36 sys	33205832 memory (KB)
  2: 8.71 real	13.63 user	2.49 sys	33205312 memory (KB)
  4: 4.89 real	13.74 user	2.55 sys	33203532 memory (KB)
  6: 3.63 real	13.53 user	2.77 sys	33202400 memory (KB)
  8: 2.81 real	13.20 user	2.60 sys	33201800 memory (KB)
 10: 2.55 real	13.53 user	2.82 sys	33201224 memory (KB)
 12: 2.18 real	13.70 user	2.72 sys	33200676 memory (KB)
 14: 1.97 real	13.91 user	2.63 sys	33198920 memory (KB)
 16: 1.87 real	13.82 user	2.74 sys	33198920 memory (KB)
 18: 1.76 real	13.95 user	2.75 sys	33195488 memory (KB)
 20: 1.67 real	13.98 user	2.76 sys	33197192 memory (KB)
 22: 1.58 real	13.80 user	2.81 sys	33194312 memory (KB)
 24: 1.66 real	14.22 user	3.02 sys	33191468 memory (KB)
 26: 1.64 real	14.38 user	2.96 sys	33193232 memory (KB)
 28: 1.54 real	14.06 user	3.16 sys	33192032 memory (KB)
 30: 1.54 real	14.81 user	3.11 sys	33189708 memory (KB)
 32: 1.53 real	14.85 user	3.25 sys	33189128 memory (KB)
 34: 1.50 real	15.01 user	3.20 sys	33187976 memory (KB)
 36: 1.45 real	14.69 user	3.22 sys	33188552 memory (KB)
 38: 1.49 real	15.72 user	3.47 sys	33187428 memory (KB)
 40: 1.43 real	15.32 user	3.32 sys	33187976 memory (KB)
 42: 1.44 real	16.02 user	3.45 sys	33188020 memory (KB)
 44: 1.37 real	17.20 user	3.78 sys	33189128 memory (KB)
 46: 1.28 real	16.16 user	3.52 sys	33187404 memory (KB)
 48: 1.31 real	18.24 user	3.83 sys	33188600 memory (KB)
 50: 1.47 real	19.26 user	4.08 sys	33185120 memory (KB)
 52: 1.41 real	18.80 user	3.91 sys	33186248 memory (KB)
 54: 1.42 real	18.94 user	4.02 sys	33190304 memory (KB)
 56: 1.40 real	19.94 user	4.27 sys	33186824 memory (KB)
 58: 1.41 real	20.36 user	4.21 sys	33187996 memory (KB)
 60: 1.34 real	22.86 user	4.85 sys	33188600 memory (KB)
 62: 1.45 real	23.52 user	4.67 sys	33187428 memory (KB)
 64: 1.42 real	22.98 user	4.62 sys	33187448 memory (KB)
 66: 1.28 real	23.61 user	4.91 sys	33188552 memory (KB)
 68: 1.37 real	23.27 user	4.90 sys	33188552 memory (KB)
 70: 1.42 real	25.95 user	4.78 sys	33187972 memory (KB)
 72: 1.36 real	25.59 user	4.66 sys	33188548 memory (KB)
 74: 1.51 real	25.84 user	4.91 sys	33189156 memory (KB)
 76: 1.49 real	25.12 user	5.02 sys	33189156 memory (KB)
 78: 1.39 real	26.99 user	5.20 sys	33189708 memory (KB)
 80: 1.47 real	26.83 user	4.59 sys	33186828 memory (KB)
 82: 1.48 real	25.16 user	4.83 sys	33189732 memory (KB)
 84: 1.44 real	23.90 user	4.82 sys	33190900 memory (KB)
